name,x,y
Binz / Rügen,13.6073,54.4059
Boddenstraße,13.716,54.3025
Palikpoint,15.5566,54.1879
Dabki,16.311,54.38
Leba,17.543,54.769
Faleza,18.3299,54.8345
Wladyslawowo,18.408,54.801
Rurociag,18.425,54.793
Chalupy,18.492,54.769
Górki Zachodnie,18.7704,54.3715
Sobieszewo,18.9168,54.3474
Sztutowo,19.1698,54.351
Piaski,19.6022,54.441
Melnrage,21.0842,55.7307
Preila,21.0306,55.3778
Nida,20.9767,55.307
Palmu Uzava,21.412,57.247
Pavilosta,21.176,56.892
Palmu Licis,21.001,56.561
Pape,21.0223,56.156
Ristna,22.0502,58.9371
Vääna-Jõesuu,24.3402,59.4248
Stroomi Beach,24.6838,59.4423
Sarkiniemi,24.872,60.145
Padva Beach,22.848,59.962
Tulliniemi,22.921,59.82
Salusand,19.267,63.457
Smitingen,18.033,62.598
Gaddviken,17.611,62.436
Lillsnäck Point,21.1265,64.7904
Sikhjalma,17.8007,60.5795
Vaddo,18.9125,59.9912
Toro Stenstrand,17.809,58.799
Degersand,19.5956,60.1538
Kappelhamnsviken,18.7386,57.93
Hogklint,18.2102,57.6011
Faro Island,19.2004,57.9081
Tofta,18.1234,57.4891
Angjarnsudden,17.057,57.27
Haga Park,16.3813,56.5344
Gronhogen,16.4005,56.263
Vik,14.279,55.64
Melbystrand,12.8978,56.5156
Långasand,12.5945,56.8317
Glommen,12.3506,56.9237
Mölle,12.4913,56.2844
Brantevik,14.348,55.519
Nexo Harbor,15.138,55.065
Kåseberga,14.0671,55.3842
Traslovslage,12.2644,57.0501
Apelviken,12.2544,57.0822
Asa,12.0919,57.3389
Skagen,10.5389,57.742
Hirtshals,9.9507,57.5929
Loekken,9.7051,57.3726
Sletteststrand,9.3634,57.1567
Tangkrogen,10.2104,56.1371
Havnebyen,11.3711,55.9709
Hornbaek,12.4604,56.0952
Gislövs  Strand,13.24,55.3522
Grønnestrand,9.2628,57.1425
Hanstholm,8.6322,57.1243
Klitmoller Bunker,8.4658,57.0394
Bunkers,8.4415,57.0145
Norre Vorupor,8.3664,56.9608
Agger,8.2185,56.7234
Thyborøn,8.196,56.6932
Thorsminde,8.1103,56.3907
Hvide Sande,8.1092,56.0003
Grærup Strand,8.1333,55.65
Rindby Strand,8.375,55.4167
Bonnerup/Djurslands,10.718,56.5349
Bjerge Nordstrand,11.1501,55.5869
Møns Klint,12.5532,54.9656
Gilleleje havn,12.3051,56.1286
Smidstrup strand,12.2348,56.1205
Raageleje,12.1597,56.0993
Hundested strand,11.8466,55.9676
Hav Stokken,12.2172,55.507
The church,12.4466,55.2791
Rodvig,12.378,55.2525
Damp,10.0285,54.5862
